@relation weka_train

@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {bad,good}

@data
0.584071,0.109589,0.56,0.068493,0.105175,0.225352,0.190813,0.582232,0.330709,0.149701,0.215385,bad
0.221239,0.386986,0.35,0.075342,0.126878,0.112676,0.303887,0.457416,0.425197,0.173653,0.153846,bad
0.371681,0.232877,0.45,0.116438,0.088481,0.084507,0.042403,0.339941,0.456693,0.275449,0.861538,bad
0.415929,0.335616,0.26,0.171233,0.130217,0.338028,0.286219,0.71072,0.393701,0.173653,0.2,bad
0.247788,0.369863,0,0.061644,0.105175,0.169014,0.120141,0.567548,0.606299,0.137725,0.153846,bad
0.19469,0.335616,0.04,0.041096,0.075125,0.056338,0.014134,0.380323,0.535433,0.161677,0.169231,bad
0.530973,0.130137,0.49,0.109589,0.09182,0.070423,0.053004,0.633627,0.409449,0.317365,0.353846,bad
0.159292,0.356164,0.21,0.061644,0.115192,0.183099,0.088339,0.500734,0.669291,0.197605,0.215385,bad
0.238938,0.226027,0.36,0.342466,0.103506,0.15493,0.286219,0.567548,0.464567,0.299401,0.323077,bad
0.415929,0.407534,0.24,0.082192,0.096828,0.056338,0.04947,0.479442,0.299213,0.155689,0.230769,bad
0.274336,0.315068,0.1,0.061644,0.15025,0.380282,0.363958,0.409692,0.267717,0.095808,0.215385,bad
0.327434,0.407534,0.15,0.061644,0.128548,0.126761,0.162544,0.494126,0.385827,0.263473,0.169231,bad
0.230088,0.143836,0.33,0.054795,0.081803,0.028169,0.024735,0.435389,0.385827,0.461078,0.246154,good
0.150442,0.616438,0,0.075342,0.118531,0.225352,0.063604,0.315712,0.669291,0.131737,0.430769,bad
0.353982,0.465753,0.11,0.09589,0.1202,0.15493,0.088339,0.57489,0.519685,0.08982,0.230769,bad
0.39823,0.061644,0.37,0.047945,0.09182,0.070423,0.014134,0.400147,0.385827,0.149701,0.415385,good
0.336283,0.164384,0.32,0.089041,0.115192,0.43662,0.257951,0.464758,0.440945,0.233533,0.4,bad
0.247788,0.164384,0.34,0.061644,0.105175,0.239437,0.113074,0.237151,0.503937,0.329341,0.8,good
0.159292,0.349315,0.21,0.047945,0.113523,0.15493,0.091873,0.500734,0.661417,0.197605,0.215385,bad
0.123894,0.287671,0.06,0.061644,0.063439,0.521127,0.293286,0.168135,0.440945,0.101796,0.330769,bad
0.681416,0.260274,0.49,0.089041,0.128548,0.056338,0.028269,0.743759,0.354331,0.065868,0.184615,bad
0.238938,0.390411,0.32,0.089041,0.095159,0.478873,0.34629,0.458884,0.464567,0.107784,0.169231,bad
0.256637,0.205479,0.31,0.047945,0.113523,0.197183,0.127208,0.567548,0.448819,0.185629,0.092308,bad
0.221239,0.431507,0.01,0.089041,0.078464,0.140845,0.042403,0.17254,0.511811,0.041916,0.676923,bad
0.318584,0.109589,0.6,0.143836,0.153589,0.126761,0.056537,0.60279,0.511811,0.209581,0.338462,bad
0.610619,0.226027,0.5,0.143836,0.110184,0.253521,0.144876,0.751101,0.409449,0.467066,0.4,bad
0.247788,0.164384,0.29,0.116438,0.125209,0.352113,0.233216,0.468429,0.511811,0.209581,0.4,bad
0.973451,0.386986,0.76,0.191781,0.146912,0.070423,0.130742,0.964023,0.165354,0.209581,0.430769,good
0.442478,0.445205,0.12,0.136986,0.116861,0.408451,0.240283,0.629956,0.440945,0.185629,0.307692,bad
0.141593,0.363014,0.06,0.047945,0.063439,0.070423,0.042403,0.250367,0.653543,0.125749,0.546154,bad
0.327434,0.143836,0.42,0.09589,0.096828,0.112676,0.04947,0.307636,0.503937,0.263473,0.661538,good
0.212389,0.294521,0.13,0.089041,0.105175,0.197183,0.102473,0.428047,0.488189,0.155689,0.2,bad
0.353982,0.205479,0.39,0.061644,0.093489,0.070423,0.021201,0.373715,0.480315,0.215569,0.507692,good
0.274336,0.575342,0.2,0.075342,0.058431,0.197183,0.190813,0.398678,0.488189,0.065868,0.384615,bad
0.035398,0.630137,0.24,0.047945,0.063439,0.43662,0.318021,0.244493,0.787402,0.173653,0.476923,bad
0.292035,0.410959,0.17,0.116438,0.140234,0.267606,0.113074,0.567548,0.519685,0.11976,0.169231,bad
0.469027,0.260274,0.5,0.883562,0.322204,0.661972,0.268551,0.906755,0.330709,0.251497,0.061538,bad
0.327434,0.123288,0.49,0.19863,0.130217,0.140845,0.063604,0.360499,0.417323,0.185629,0.569231,good
0.486726,0.226027,0.23,0.068493,0.116861,0.126761,0.042403,0.563142,0.377953,0.191617,0.138462,bad
0.247788,0.164384,0.3,0.061644,0.103506,0.225352,0.063604,0.302496,0.393701,0.221557,0.461538,good
0.123894,0.260274,0.04,0.089041,0.133556,0.169014,0.070671,0.469897,0.566929,0.083832,0.246154,bad
0.389381,0.479452,0.14,0.116438,0.128548,0.112676,0.060071,0.611601,0.511811,0.179641,0.215385,bad
0.513274,0.273973,0.45,0.075342,0.113523,0.070423,0.024735,0.563142,0.377953,0.257485,0.461538,bad
0.336283,0.164384,0.32,0.089041,0.115192,0.43662,0.257951,0.464758,0.440945,0.233533,0.4,bad
0.115044,0.219178,0,0.047945,0.050083,0.028169,0.017668,0.317915,0.582677,0.311377,0.507692,bad
0.292035,0.191781,0.3,0.061644,0.24207,0.014085,0.137809,0.528634,0.448819,0.347305,0.169231,bad
0.256637,0.273973,0.11,0.041096,0.111853,0.140845,0.116608,0.494126,0.535433,0.149701,0.184615,bad
0.336283,0.373288,0.61,0.075342,0.166945,0.169014,0.314488,0.508811,0.330709,0.125749,0.107692,bad
0.530973,0.130137,0.49,0.089041,0.085142,0.239437,0.120141,0.552863,0.314961,0.107784,0.215385,bad
0.20354,0.191781,0.14,0.10274,0.12187,0.28169,0.120141,0.494126,0.543307,0.179641,0.2,bad
0.300885,0.414384,0.24,0.130137,0.118531,0.126761,0.19788,0.497797,0.480315,0.137725,0.246154,bad
0.265487,0.212329,0.29,0.082192,0.105175,0.253521,0.212014,0.522026,0.519685,0.185629,0.169231,bad
0.230088,0.089041,0.37,0.109589,0.085142,0.140845,0.123675,0.317181,0.614173,0.281437,0.615385,good
0.469027,0.349315,0.24,0.10274,0.108514,0.070423,0.095406,0.538179,0.275591,0.143713,0.153846,bad
0.185841,0.109589,0.28,0.10274,0,0.492958,0.332155,0.04185,0.409449,0.035928,0.507692,good
0.619469,0.19863,0.58,0.130137,0.140234,0.338028,0.335689,0.746696,0.307087,0.11976,0.246154,bad
0.20354,0.294521,0.15,0.089041,0.106845,0.253521,0.120141,0.442731,0.527559,0.155689,0.261538,bad
0.238938,0.376712,0.02,0.089041,0.100167,0.422535,0.303887,0.410426,0.456693,0.209581,0.410256,bad
0.557522,0.171233,0.58,0.212329,0.098497,0.225352,0.208481,0.681351,0.377953,0.269461,0.261538,bad
0.256637,0.308219,0.08,0.116438,0.128548,0.183099,0.074205,0.429515,0.440945,0.155689,0.307692,bad
0.389381,0.465753,0.12,0.10274,0.118531,0.098592,0.077739,0.608664,0.464567,0.191617,0.307692,bad
0.20354,0.349315,0.02,0.068493,0.110184,0.239437,0.084806,0.517621,0.519685,0.251497,0.215385,bad
0.247788,0.455479,0.19,0.294521,0.136895,0.253521,0.325088,0.518355,0.330709,0.113772,0.179487,bad
0.362832,0.287671,0.26,0.109589,0.141903,0.084507,0.088339,0.552863,0.417323,0.161677,0.138462,bad
0.40708,0.130137,0.36,0.089041,0.111853,0.140845,0.088339,0.446402,0.464567,0.317365,0.553846,good
0.221239,0.068493,0.49,0.061644,0.045075,0.098592,0.042403,0.24743,0.511811,0.137725,0.615385,bad
0.495575,0.253425,0.63,0.136986,0.100167,0.126761,0.070671,0.494126,0.330709,0.269461,0.630769,good
0.336283,0.407534,0.2,0.10274,0.106845,0.126761,0.113074,0.534508,0.448819,0.185629,0.153846,bad
0.548673,0.226027,0.33,0.109589,0.145242,0.267606,0.113074,0.595448,0.393701,0.227545,0.369231,bad
0.646018,0.315068,0.66,0.109589,0.100167,0.070423,0.109541,0.670338,0.244094,0.137725,0.246154,bad
0.477876,0.315068,0.22,0.068493,0.113523,0.112676,0.091873,0.538179,0.307087,0.131737,0.169231,bad
0.283186,0.438356,0.04,0.09589,0.133556,0.197183,0.169611,0.508811,0.409449,0.191617,0.215385,bad
0.292035,0.328767,0.06,0.047945,0.095159,0.197183,0.187279,0.464758,0.440945,0.077844,0.153846,bad
0.292035,0.280822,0.24,0.075342,0.100167,0.197183,0.349823,0.435389,0.417323,0.125749,0.153846,bad
0.353982,0.171233,0.65,0.376712,0.113523,0.028169,0.007067,0.594714,0.417323,0.149701,0.4,bad
0.575221,0.184932,0.54,0.123288,0.138564,0.28169,0.335689,0.736417,0.307087,0.107784,0.169231,bad
0.424779,0.321918,0.14,0.075342,0.1202,0.338028,0.14841,0.589574,0.314961,0.137725,0.2,bad
0.725664,0.339041,0.66,0.335616,0.118531,0.084507,0.127208,0.890602,0.259843,0.239521,0.246154,good
0.256637,0.273973,0.4,0.089041,0.080134,0.15493,0.04947,0.342878,0.409449,0.185629,0.523077,bad
0.212389,0.253425,0.49,0.321918,0.080134,0.352113,0.40636,0.538179,0.472441,0.257485,0.323077,bad
0.247788,0.157534,0.33,0.10274,0.093489,0.112676,0.070671,0.339941,0.488189,0.161677,0.538462,bad
0.292035,0.212329,0.21,0.047945,0.156928,0.126761,0.109541,0.479442,0.338583,0.347305,0.169231,bad
0.318584,0.054795,0.43,0.109589,0.106845,0.422535,0.159011,0.488253,0.622047,0.287425,0.307692,bad
0.221239,0.164384,0.3,0.047945,0.113523,0.478873,0.226148,0.503671,0.551181,0.101796,0.153846,bad
0.19469,0.356164,0.03,0.09589,0.105175,0.183099,0.088339,0.395007,0.488189,0.149701,0.307692,bad
0.230088,0.184932,0.44,0.116438,0.09015,0.295775,0.14841,0.357562,0.440945,0.305389,0.476923,bad
0.274336,0.544521,0.12,0.089041,0.218698,0.084507,0.060071,0.464758,0.480315,0.191617,0.276923,good
0.247788,0.383562,0.16,0.061644,0.110184,0.15493,0.116608,0.560206,0.598425,0.221557,0.230769,bad
0.336283,0.30137,0.04,0.075342,0.116861,0.126761,0.056537,0.552863,0.377953,0.065868,0.184615,bad
0.40708,0.547945,0.24,0.116438,0.125209,0.15493,0.30742,0.714391,0.582677,0.125749,0.215385,bad
0.230088,0.178082,0.38,0.130137,0.093489,0.309859,0.127208,0.256241,0.472441,0.233533,0.692308,good
0.19469,0.390411,0,0.321918,0.186978,0.28169,0.183746,0.707048,0.566929,0.233533,0.276923,bad
0.389381,0.178082,0.41,0.10274,0.15192,0.070423,0.014134,0.438326,0.307087,0.149701,0.538462,good
0.424779,0.150685,0.37,0.089041,0.105175,0.056338,0.024735,0.582232,0.377953,0.173653,0.123077,bad
0.150442,0.184932,0.16,0.034247,0.113523,0.140845,0.060071,0.398678,0.472441,0.137725,0.138462,bad
0.380531,0.212329,0.45,0.068493,0.066778,0.070423,0.035336,0.347283,0.480315,0.221557,0.630769,bad
0.495575,0.082192,0.49,0.10274,0.105175,0.126761,0.077739,0.567548,0.314961,0.167665,0.307692,bad
0.362832,0.116438,0.52,0.047945,0.168614,0.15493,0.109541,0.501468,0.401575,0.149701,0.169231,bad
0.283186,0.19863,0.68,0.054795,0.759599,0.239437,0.222615,0.530837,0.267717,0.586826,0.138462,bad
0.39823,0.455479,0,0.116438,0.135225,0.140845,0.077739,0.685022,0.488189,0.317365,0.153846,bad
0.274336,0.342466,0.04,0.19863,0.1202,0.338028,0.137809,0.567548,0.472441,0.11976,0.169231,bad
0.061947,0.407534,0.19,0.041096,0.248748,0.084507,0.19788,0.284875,0.692913,0.167665,0.4,bad
0.318584,0.308219,0.26,0.089041,0.080134,0.380282,0.208481,0.428047,0.440945,0.05988,0.261538,bad
0.238938,0.650685,0.09,0.054795,0.277129,0.126761,0.293286,0.450073,0.440945,0.143713,0.092308,bad
0.274336,0.184932,0.12,0.054795,0.141903,0.253521,0.074205,0.432452,0.330709,0.095808,0.153846,bad
0.19469,0.164384,0.32,0.061644,0.09182,0.042254,0.007067,0.200441,0.488189,0.131737,0.676923,good
0.274336,0.390411,0.22,0.068493,0.1202,0.239437,0.310954,0.442731,0.448819,0.08982,0.169231,bad
0.300885,0.328767,0.22,0.082192,0.113523,0.338028,0.349823,0.444934,0.440945,0.095808,0.230769,bad
0.265487,0.407534,0,0.082192,0.093489,0.408451,0.102473,0.386197,0.582677,0.191617,0.461538,bad
0.238938,0.253425,0.1,0.116438,0.093489,0.042254,0.028269,0.407489,0.440945,0.083832,0.323077,bad
0,0.273973,0.15,0.082192,0.070117,0.098592,0.208481,0.244493,0.913386,0.137725,0.723077,bad
0.610619,0.205479,0.48,0.116438,0.108514,0.098592,0.04947,0.620411,0.275591,0.11976,0.4,bad
0.415929,0.191781,0.49,0.109589,0.12187,0.521127,0.480565,0.567548,0.377953,0.131737,0.153846,bad
0.451327,0.119863,0.4,0.041096,0.101836,0.183099,0.053004,0.403084,0.314961,0.107784,0.384615,bad
0.230088,0.369863,0.03,0.09589,0.110184,0.211268,0.282686,0.540382,0.622047,0.143713,0.2,bad
0.672566,0.226027,0.49,0.034247,0.105175,0.028169,0,0.501468,0.307087,0.179641,0.307692,bad
0.327434,0.616438,0.02,0.171233,0.1202,0.070423,0.017668,0.64978,0.582677,0.095808,0.4,bad
0.504425,0.10274,0.24,0.082192,0.100167,0.197183,0.095406,0.406021,0.377953,0.197605,0.676923,bad
0.256637,0.308219,0.02,0.116438,0.108514,0.140845,0.102473,0.403818,0.488189,0.173653,0.369231,bad
0.761062,0.232877,0.52,0.089041,0.098497,0.15493,0.102473,0.773128,0.283465,0.137725,0.092308,bad
0.477876,0.116438,0.4,0.136986,0.143573,0.126761,0.070671,0.773128,0.582677,0.347305,0.2,bad
0.19469,0.19863,0.31,0.541096,0.1202,0.352113,0.137809,0.599853,0.503937,0.185629,0.261538,bad
0.619469,0.243151,0.4,0.034247,0.131886,0.070423,0.077739,0.511747,0.259843,0.191617,0.251282,bad
0.230088,0.328767,0.04,0.109589,0.106845,0.239437,0.289753,0.54185,0.622047,0.131737,0.169231,bad
0.150442,0.267123,0.13,0.09589,0.106845,0.394366,0.120141,0.4163,0.535433,0.251497,0.4,bad
0.371681,0.191781,0.4,0.089041,0.111853,0.253521,0.162544,0.582232,0.551181,0.185629,0.123077,bad
0.39823,0.123288,0.34,0.075342,0.086811,0.15493,0.067138,0.373715,0.409449,0.305389,0.507692,good
0.353982,0.253425,0.29,0.075342,0.163606,0.253521,0.448763,0.523495,0.149606,0.988024,0.215385,bad
0.327434,0.253425,0.36,0.061644,0.350584,0.070423,0.035336,0.582232,0.346457,0.161677,0.169231,bad
0.141593,0.328767,0.08,0.075342,0.130217,0.43662,0.134276,0.354626,0.559055,0.149701,0.323077,bad
0.265487,0.294521,0.21,0.089041,0.098497,0.084507,0.077739,0.464758,0.425197,0.131737,0.2,bad
0.60177,0.09589,0.44,0.184932,0.098497,0.070423,0.045936,0.626285,0.299213,0.293413,0.138462,bad
0.044248,0.239726,0.02,0.027397,0.036728,0.239437,0.134276,0.149046,0.913386,0.173653,0.676923,bad
0.707965,0.178082,0.66,0.116438,0.126878,0.126761,0.123675,0.802496,0.338583,0.209581,0.215385,bad
0.238938,0.167808,0.49,0.109589,0.126878,0.535211,0.353357,0.479442,0.488189,0.269461,0.4,bad
0.247788,0.335616,0.01,0.075342,0.103506,0.169014,0.113074,0.544053,0.582677,0.191617,0.215385,bad
0.20354,0.267123,0.23,0.075342,0.100167,0.169014,0.056537,0.316446,0.519685,0.305389,0.430769,bad
0.230088,0.417808,0.02,0.109589,0.106845,0.211268,0.127208,0.523495,0.551181,0.113772,0.138462,bad
0.619469,0.19863,0.54,0.041096,0.138564,0.295775,0.123675,0.534508,0.220472,0.257485,0.230769,good
0.353982,0.273973,0.38,0.041096,0.140234,0.056338,0.042403,0.483847,0.362205,0.113772,0.153846,bad
0.283186,0.30137,0.19,0.061644,0.153589,0.15493,0.144876,0.464758,0.354331,0.359281,0.169231,bad
0.460177,0.260274,0.34,0.09589,0.136895,0.126761,0.137809,0.629222,0.393701,0.161677,0.2,good
0.256637,0.253425,0.2,0.116438,0.534224,0.098592,0.028269,0.494126,0.370079,0.341317,0.323077,bad
0.318584,0.150685,0.38,0.109589,0.113523,0.15493,0.180212,0.567548,0.440945,0.083832,0.092308,bad
0.389381,0.342466,0.04,0.068493,0.223706,0.366197,0.29682,0.611601,0.330709,0.221557,0.153846,bad
0.212389,0.212329,0.36,0.047945,0.128548,0.183099,0.109541,0.446402,0.472441,0.137725,0.123077,bad
0.176991,0.335616,0.01,0.068493,0.113523,0.098592,0.067138,0.542584,0.748031,0.239521,0.323077,bad
0.176991,0.260274,0.04,0.082192,0.093489,0.070423,0.028269,0.398678,0.511811,0.185629,0.153846,bad
0.256637,0.315068,0.2,0.075342,0.101836,0.464789,0.134276,0.357562,0.283465,0.05988,0.138462,bad
0.39823,0.239726,0.49,0.116438,0.136895,0.521127,0.353357,0.596916,0.267717,0.155689,0.107692,bad
0.415929,0.136986,0.57,0.075342,0.103506,0.366197,0.208481,0.501468,0.425197,0.275449,0.353846,bad
0.300885,0.041096,0.37,0,0.06177,0.492958,0.363958,0,0.11811,0.065868,0.661538,bad
0.265487,0.253425,0.33,0.068493,0.103506,0.366197,0.279152,0.513216,0.527559,0.149701,0.092308,bad
0.371681,0.143836,0.41,0.342466,0.101836,0.084507,0.024735,0.477974,0.440945,0.173653,0.569231,good
0.575221,0.130137,0.53,0.089041,0.080134,0.028169,0.014134,0.414831,0.220472,0.299401,0.384615,good
0.19469,0.335616,0.2,0.061644,0.108514,0.140845,0.208481,0.516153,0.629921,0.149701,0.138462,bad
0.230088,0.202055,0.36,0.075342,0.115192,0.169014,0.137809,0.523495,0.582677,0.185629,0.123077,bad
0.362832,0.232877,0.31,0.109589,0.190317,0.323944,0.204947,0.542584,0.283465,0.245509,0.184615,bad
0.088496,0.260274,0.09,0.09589,0.06177,0.225352,0.328622,0.26652,0.700787,0.179641,0.707692,bad
0.141593,0.226027,0.2,0.047945,0.095159,0.028169,0.031802,0.420705,0.527559,0.137725,0.123077,bad
0.212389,0.328767,0.3,0.246575,0.093489,0.267606,0.367491,0.665932,0.440945,0.502994,0.276923,bad
0.309735,0.311644,0.22,0.082192,0.108514,0.15493,0.208481,0.486784,0.433071,0.107784,0.123077,bad
0.283186,0.294521,0,0.054795,0.096828,0.084507,0.038869,0.478708,0.409449,0.185629,0.153846,bad
0.433628,0.232877,0.49,0.369863,0.086811,0.056338,0.038869,0.640969,0.370079,0.239521,0.4,bad
0.513274,0.219178,0.42,0.041096,0.222037,0.464789,0.14841,0.605727,0.503937,0.317365,0.230769,bad
0.530973,0.109589,0.39,1,0.095159,0.070423,0.060071,0.919971,0.299213,0.197605,0.123077,bad
0.283186,0.349315,0.48,0.054795,0.146912,0.183099,0.318021,0.442731,0.354331,0.173653,0.169231,bad
0.274336,0.280822,0.06,0.054795,0.103506,0.112676,0.116608,0.446402,0.480315,0.08982,0.215385,bad
0.504425,0.19863,0.42,0.10274,0.335559,0.070423,0.028269,0.685022,0.354331,0.173653,0.169231,bad
0.699115,0.178082,0.6,0.116438,0.115192,0.422535,0.233216,0.699706,0.283465,0.239521,0.323077,bad
0.530973,0.260274,0.45,0.116438,0.178631,0.464789,0.219081,0.514684,0.385827,0.233533,0.384615,bad
0.292035,0.363014,0.01,0.109589,0.110184,0.225352,0.113074,0.457416,0.472441,0.245509,0.507692,good
0.292035,0.369863,0,0.034247,0.140234,0.070423,0.024735,0.412628,0.543307,0.149701,0.169231,bad
0.212389,0.260274,0.25,0.075342,0.096828,0.028169,0.056537,0.457416,0.401575,0.179641,0.123077,bad
0.628319,0.109589,0.47,0.054795,0.070117,0.225352,0.091873,0.498532,0.322835,0.203593,0.338462,good
0.300885,0.123288,0.63,0.047945,0.115192,0.211268,0.081272,0.426579,0.440945,0.269461,0.369231,bad
0.318584,0.321918,0,0.109589,0.135225,0.253521,0.183746,0.743759,0.598425,0.191617,0.138462,bad
0.380531,0.493151,0.34,0.034247,0.063439,0.042254,0.014134,0.401615,0.299213,0.08982,0.107692,bad
0.292035,0.150685,0.42,0.075342,0.123539,0.098592,0.045936,0.395742,0.480315,0.161677,0.461538,bad
0.176991,0.493151,0.03,0.09589,0.078464,0.43662,0.14841,0.376652,0.614173,0.137725,0.6,good
0.309735,0.291096,0.18,0.068493,0.113523,0.169014,0.102473,0.523495,0.440945,0.155689,0.092308,bad
0.513274,0.19863,0.55,0.157534,0.106845,0.295775,0.169611,0.699706,0.322835,0.335329,0.230769,bad
0.451327,0.136986,0.54,0.109589,0.136895,0.380282,0.272085,0.611601,0.425197,0.293413,0.184615,bad
0.230088,0.171233,0.32,0.075342,0.083472,0.197183,0.077739,0.339941,0.385827,0.239521,0.446154,good
0.088496,0.369863,0,0.089041,0.125209,0.028169,0.017668,0.272394,0.76378,0.179641,0.676923,good
0.230088,0.171233,0.32,0.075342,0.083472,0.197183,0.077739,0.339941,0.385827,0.239521,0.446154,good
0.327434,0.400685,0.12,0.116438,0.133556,0.15493,0.077739,0.685022,0.606299,0.233533,0.246154,bad
0.318584,0.523973,0.2,0.034247,0.123539,0.084507,0.088339,0.332599,0.291339,0.077844,0.246154,bad
0.256637,0.267123,0.02,0.054795,0.1202,0.169014,0.088339,0.389868,0.488189,0.125749,0.323077,bad
0.265487,0.458904,0.21,0.09589,0.125209,0.28169,0.219081,0.398678,0.299213,0.065868,0.123077,bad
0.221239,0.246575,0.28,0.130137,0.093489,0.070423,0.035336,0.495595,0.393701,0.11976,0.292308,bad
0.371681,0.39726,0,0.054795,0.095159,0.098592,0.045936,0.509545,0.448819,0.11976,0.246154,bad
0.212389,0.226027,0.34,0.123288,0.116861,0.211268,0.233216,0.582232,0.637795,0.161677,0.169231,bad
0.283186,0.232877,0.26,0.068493,0.126878,0.309859,0.166078,0.589574,0.543307,0.245509,0.123077,bad
0.230088,0.349315,0,0.068493,0.141903,0.183099,0.113074,0.490455,0.496063,0.149701,0.092308,bad
0.185841,0.232877,0.24,0.054795,0.108514,0.239437,0.09894,0.347283,0.511811,0.161677,0.338462,bad
0.292035,0.157534,0.46,0.184932,0.110184,0.197183,0.109541,0.530837,0.480315,0.317365,0.676923,good
0.504425,0.280822,0.48,0.109589,0.085142,0.070423,0.067138,0.714391,0.299213,0.155689,0.138462,bad
0.20354,0.315068,0.01,0.068493,0.113523,0.549296,0.169611,0.496329,0.519685,0.239521,0.2,bad
0.283186,0.30137,0.12,0.075342,0.116861,0.084507,0.077739,0.508811,0.496063,0.101796,0.153846,bad
0.212389,0.328767,0.3,0.246575,0.093489,0.267606,0.367491,0.665932,0.440945,0.502994,0.276923,bad
0.318584,0.417808,0.21,0.054795,0.103506,0.056338,0.024735,0.494126,0.362205,0.113772,0.169231,bad
0.238938,0.369863,0,0.075342,0.1202,0.070423,0.060071,0.604258,0.685039,0.377246,0.230769,bad
0.39823,0.171233,0.32,0.082192,0.086811,0.042254,0.031802,0.417768,0.440945,0.281437,0.430769,bad
0.20354,0.226027,0.11,0.10274,0.051753,0.070423,0.021201,0.254772,0.440945,0.191617,0.461538,bad
0.274336,0.376712,0.23,0.082192,0.126878,0.225352,0.318021,0.450073,0.456693,0.08982,0.169231,bad
0.035398,0.616438,0.04,0.034247,0.055092,0.56338,0.279152,0.273862,0.795276,0.08982,0.323077,bad
0.345133,0.239726,0.27,0.068493,0.076795,0.239437,0.113074,0.375184,0.330709,0.311377,0.415385,bad
0.20354,0.332192,0.12,0.671233,0.101836,0.549296,0.272085,0.67768,0.559055,0.113772,0.153846,bad
0.424779,0.260274,0.34,0.184932,0.116861,0.056338,0.028269,0.633627,0.433071,0.113772,0.353846,bad
0.557522,0.136986,0.52,0.061644,0.200334,0.225352,0.134276,0.533774,0.425197,0.263473,0.476923,bad
0.353982,0.280822,0.22,0.075342,0.146912,0.084507,0.074205,0.486784,0.362205,0.137725,0.276923,bad
0.433628,0.421233,0.1,0.082192,0.111853,0.070423,0.088339,0.626285,0.385827,0.137725,0.261538,bad
0.424779,0.386986,0.26,0.10274,0.116861,0.309859,0.484099,0.567548,0.425197,0.131737,0.153846,bad
0.300885,0.212329,0.36,0.09589,0.105175,0.126761,0.14841,0.552863,0.472441,0.077844,0.153846,bad
0.477876,0.09589,0.54,0.068493,0.118531,0.577465,0.240283,0.325991,0.188976,0.179641,0.523077,good
0.345133,0.191781,0.4,0.369863,0.063439,0.028169,0.014134,0.410426,0.425197,0.137725,0.553846,bad
0.247788,0.39726,0,0.068493,0.106845,0.140845,0.09894,0.567548,0.606299,0.137725,0.153846,bad
0.300885,0.726027,0.21,0.068493,0.118531,0.183099,0.123675,0.385463,0.472441,0.083832,0.323077,bad
0.19469,0.342466,0.08,0.068493,0.093489,0.380282,0.113074,0.472834,0.535433,0.293413,0.169231,bad
